iau_name ,alt_name        ,ra        ,dec      ,class         
1401+0952,1E 1401+0952    ,14 04 10.5,+09 37 46,QSO RADIO LOUD
1749+0939,OT 081          ,17 51 32.7,+09 39 02,QSO RADIO LOUD
2239+0938,PKS 2239+096    ,22 41 49.6,+09 53 51,QSO RADIO LOUD
1442+1011,OQ 172          ,14 45 16.5,+09 58 36,QSO RADIO LOUD
1524+1009,MC 1524+101     ,15 26 46.2,+09 59 10,QSO RADIO LOUD
2019+0951,3C 411.0        ,20 22 08.3,+10 01 12,QSO RADIO LOUD
2120+0955,PKS 2120+09     ,21 23 13.3,+10 07 55,QSO RADIO LOUD
2308+0951,4C 09.72        ,23 11 17.6,+10 08 15,QSO RADIO LOUD
2154+1000,MC 2154+100     ,21 57 12.8,+10 14 24,QSO RADIO LOUD
0042+1010,MC 0042+101     ,00 44 58.7,+10 26 54,QSO RADIO LOUD
1606+1036,PKS 1606+10     ,16 08 46.1,+10 29 07,QSO RADIO LOUD
0306+1017,PKS 0306+102    ,03 09 03.6,+10 29 16,QSO RADIO LOUD
1502+1041,PKS 1502+106    ,15 04 24.8,+10 29 39,QSO RADIO LOUD
1821+1042,PKS 1821+10     ,18 24 02.7,+10 44 24,QSO RADIO LOUD
1058+1102,AO 1058+11      ,11 00 47.8,+10 46 14,QSO RADIO LOUD
0007+1041,PG 0007+106     ,00 10 31.0,+10 58 29,QSO RADIO LOUD
0214+1050,PKS 0214+10     ,02 17 07.6,+11 04 09,QSO RADIO LOUD
1522+1118,OR 139          ,15 25 02.8,+11 07 44,QSO RADIO LOUD
2142+1101,MC 2142+110     ,21 45 18.7,+11 15 27,QSO RADIO LOUD
1548+1129,MC 1548+114     ,15 50 43.5,+11 20 47,QSO RADIO LOUD
2251+1120,PKS 2251+11     ,22 54 10.4,+11 36 38,QSO RADIO LOUD
1252+1157,PKS 1252+11     ,12 54 38.2,+11 41 06,QSO RADIO LOUD
